code,term
S01..00,Skull base fracture
G00..00,Rheumatic fever without heart involvement
F20..00,Multiple sclerosis
A94..00,Neurosyphilis
1BW..00,Poor concentration
G0...00,Acute rheumatic fever
SA...00,Open wound of lower limb
S02..00,Fracture of facial bone
A33..00,Whooping cough
TL9..00,Homicide
1BG..00,Flight of ideas
651..00,Cholera vaccination
H40..00,Coal workers' pneumoconiosis
C21..00,Nutritional marasmus
182..00,Chest pain
P66..00,Congenital mitral insufficiency
P54..00,Ventricular septal defect
42J..00,Neutrophil count
2FR..00,Butterfly rash
1S1..00,Flashbacks
AD5..00,Sarcoidosis
1AD..00,Vaginal dryness
G24..00,Secondary hypertension
P01..00,Craniorachischisis
857..00,Vibration
44m..00,Lactose tolerance test
65D..00,Rabies vaccination
C28..00,Vitamin D deficiency
L03..00,Ectopic pregnancy
A90..00,Congenital syphilis
H52..00,Pneumothorax
A03..00,Shigellosis
A56..00,Rubella
A72..00,Mumps
54I..00,Placentography
C16..00,Ovarian dysfunction
PB0..00,Meckel's diverticulum
S27..00,Multiple fractures of hand bones
F26..00,Migraine
G2...00,Hypertensive disease
G22..00,Hypertensive renal disease
2JF..00,"Determination of outcome, satisfactory to patient"
K15..00,Cystitis
655..00,Pertussis vaccination
L05..00,Legally induced abortion
659..00,Smallpox vaccination
H13..00,Chronic sinusitis
L40..00,Puerperal sepsis
J34..00,Diaphragmatic hernia
586..00,Thermography
PK4..00,Conjoined twins
42f..00,Hess test
42L..00,Basophil count
8F1..00,Recreational therapy
K11..00,Hydronephrosis
561..00,Fluoroscopy
SN3..00,Effects of air pressure
A35..00,Erysipelas
856..00,Acupuncture
G87..00,Hypotension
P53..00,Common ventricle
PF2..00,Reduction deformity of upper limb
42X..00,Reticulocyte count
8Ci..00,Application of eye pad
G52..00,Acute myocarditis
Q32..00,Neonatal respiratory distress syndrome
G02..00,Rheumatic chorea
S3...00,Fracture of bone of lower limb
858..00,Hydrotherapy
PA6..00,Congenital hiatus hernia
P23..00,Congenital hydrocephalus
P82..00,Congenital web of larynx
A18..00,Miliary tuberculosis
M05..00,Impetigo
S00..00,Fracture of vault of skull
C1A..00,Insulin resistance
PA5..00,Congenital hypertrophic pyloric stenosis
J55..00,Peritonitis
M28..00,Urticaria
F12..00,Parkinson's disease
L0A..00,Failed attempted abortion
L06..00,Illegally induced abortion
171..00,Cough
J31..00,Femoral hernia
1BN..00,Wandering
46N..00,Urine protein
F22..00,Hemiplegia
S32..00,Fracture of patella
K01..00,Nephrotic syndrome
J3...00,Hernia of abdominal cavity
P10..00,Spina bifida with hydrocephalus
85A..00,Prosthesis
M10..00,Erythematosquamous dermatosis
K23..00,Hydrocele
H29..00,Avian influenza
SG0..00,Foreign body on external eye
P20..00,Encephalocele
Q20..00,Birth trauma
A1...00,Tuberculosis
G30..00,Acute myocardial infarction
C19..00,Multiple organ failure
K30..00,Benign mammary dysplasia
S20..00,Fracture of clavicle
C20..00,Kwashiorkor
A20..00,Plague
16P..00,Thirst
G20..00,Essential hypertension
22K..00,Body mass index
J38..00,Obturator hernia
AB3..00,Coccidioidomycosis
P31..00,Microphthalmos
A84..00,Malaria
H17..00,Allergic rhinitis
PD5..00,Ectopia vesicae
S7A..00,Injury of pancreas
42P..00,Platelet count
P67..00,Hypoplastic left heart syndrome
G6...00,Cerebrovascular disease
A10..00,Primary tuberculous infection
H31..00,Chronic bronchitis
J51..00,Diverticula of intestine
N07..00,Internal derangement of knee joint
A00..00,Cholera
N37..00,Curvature of spine
4G9..00,Calculus analysis
G21..00,Hypertensive heart disease
16J..00,Swelling
N20..00,Polymyalgia rheumatica
174..00,Hiccoughs
S22..00,Fracture of humerus
P1...00,Spina bifida
1b...00,Sexual orientation
P92..00,Cleft palate with cleft lip
G40..00,Acute pulmonary heart disease
65C..00,Yellow fever vaccination
G71..00,Aortic aneurysm
42N..00,Monocyte count
A50..00,Smallpox
SG9..00,Foreign body in genitourinary tract
S88..00,Open wound of external genital organs
AB5..00,Blastomycotic infection
24J..00,Cardiovascular function
AA2..00,Yaws
J3A..00,Sciatic hernia
S0...00,Fracture of skull
42K..00,Eosinophil count
C24..00,Vitamin A deficiency
PG2..00,Cervical rib
C10..00,Diabetes mellitus
46O..00,Urine protein electrophoresis
C17..00,Testicular dysfunction
K51..00,Genital prolapse
SG2..00,Foreign body in nose
42M..00,Lymphocyte count
AC2..00,Echinococcosis
SG1..00,Foreign body in ear
SL...00,Poisoning
H20..00,Viral pneumonia
A23..00,Brucellosis
S23..00,Fracture of radius AND ulna
K18..00,Urethral stricture
A37..00,Tetanus
AA0..00,Leptospirosis
PF3..00,Reduction deformity of lower limb
AB2..00,Candidiasis
G10..00,Chronic rheumatic pericarditis
8FB..00,Drug rehabilitation
A86..00,Trypanosomiasis
15F..00,Vaginismus
A85..00,Leishmaniasis
A30..00,Leprosy
2J4..00,Worried well
S9...00,Open wound of upper limb
1BY..00,Elevated mood
P57..00,Cor biloculare
S24..00,Fracture of carpal bone
C05..00,Thyroiditis
H00..00,Acute nasopharyngitis
65B..00,Rubella vaccination
P65..00,Congenital mitral stenosis
PD1..00,Congenital cystic disease of kidney
57C..00,Positron emission tomography
P70..00,Patent ductus arteriosus
26L..00,Gynaecologic examination
Gy0..00,Cardiovascular syphilis
G58..00,Heart failure
8F3..00,Occupational therapy
S81..00,Open wound of eyeball
J20..00,Acute appendicitis
F15..00,Anterior horn cell disease
G55..00,Cardiomyopathy
65E..00,Influenza vaccination
G23..00,Hypertensive heart AND renal disease
P52..00,Tetralogy of Fallot
P84..00,Congenital cystic lung
G1...00,Chronic rheumatic heart disease
564..00,Cineradiography
J3B..00,Retroperitoneal hernia
G41..00,Chronic pulmonary heart disease
P90..00,Cleft palate
AC4..00,Trichinosis
A54..00,Herpes simplex
A62..00,Mosquito-borne viral encephalitis
5B7..00,Ultrasound therapy
P00..00,Anencephalus
C34..00,Gout
C02..00,Thyrotoxicosis
E3...00,Mental retardation
F14..00,Spinocerebellar disease
B7A..00,Benign neoplasm of ovary
B76..00,Benign neoplasm of skin
B7G..00,Benign neoplasm of thyroid gland
B82..00,Carcinoma in situ of skin
P37..00,Macrophthalmos
B32..00,Malignant melanoma of skin
B35..00,Malignant neoplasm of male breast
B42..00,Primary malignant neoplasm of placenta
SA6..00,Traumatic amputation of foot
F00..00,Bacterial meningitis
1Y2..00,Well child
1Y3..00,Well adult
16K..00,Clamminess
4KM..00,Specimen too thick for optimal interpretation
8F8..00,Convalescence
1S6..00,Motivation finding
4M3..00,Breslow depth staging for melanoma
4JV..00,Organism count
H35..00,Extrinsic allergic alveolitis
F25..00,Epilepsy
C04..00,Acquired hypothyroidism
4KH..00,Cell count
4JS..00,Microscopy
43q..00,Hepatitis C virus RNA (ribonucleic acid) assay
46U..00,Urine culture
48F..00,Cerebrospinal fluid oligoclonal bands
16S..00,Mucous membrane dryness
S84..00,Open wound of neck
M04..00,Acute lymphadenitis
2JX..00,Lesion
27C..00,Not pregnant
H5B..00,Sleep apnoea
654..00,Diphtheria vaccination
S60..00,Concussion
87A..00,Autogenic drainage
F2B..00,Cerebral palsy
G38..00,Postoperative myocardial infarction
BBL..00,[M]Complex mixed and stromal neoplasms
SG4..00,"Foreign body in trachea, bronchus and lung"
6E...00,Accident prevention
64c..00,Child protection procedure
8K1..00,Trigger point
49I..00,Semen viscosity
13n..00,Language read
67K..00,Cycle of change stage
1BS..00,Normal mood symptoms
8O6..00,Enuresis support
6A3..00,Hormone replacement therapy review
6B1..00,Child health promotion
62Y..00,Routine antenatal care
13m..00,Lifestyle
8BG..00,Drug indicated
H3A..00,End stage chronic obstructive airways disease
2HF..00,Mis-shapen pelvis
8Hb..00,Involuntary admission
8Ha..00,Voluntary admission
6F...00,Stroke prevention
62a..00,Pregnancy review
66Y..00,Other respiratory disease monitoring
2FU..00,O/E - erythematous rash
8O7..00,Carer support
AC0..00,Schistosomiasis - bilharziasis
A11..00,Pulmonary tuberculosis
11...00,Depth of history
112..00,Brief history taken
113..00,Intermediate history taken
114..00,Full history taken
115..00,No history of clinical finding in subject
11Z..00,History taken on subject
121..00,Family history taken
122..00,No relevant family history
123..00,FH: Infectious disease
125..00,FH: Endocrine disorders
126..00,FH: Metabolic disorder
127..00,FH: Blood disorder
12A..00,FH: Eye disorder
12B..00,FH: Ear disorder
12E..00,FH: Gastrointestinal disease
12G..00,FH: Obstetric problem
12H..00,FH: Skin disease
12J..00,FH: Congenital anomaly
12K..00,FH: Mother
12L..00,FH: Father
12M..00,FH: Sister
12N..00,FH: Brother
12O..00,FH: Son
12P..00,FH: Daughter
12Q..00,FH: Relative OS
12R..00,FH: Allergy
132..00,Social group
135..00,Religion
138..00,Exercise grading
139..00,Wishes to be donor
13C..00,Mobility - social functioning
13H..00,Personal milestones
13I..00,Family milestones
13K..00,Economic milestones
13N..00,Risk activity involvement
13P..00,Retirement pensions
13R..00,Unemployment benefits
13T..00,Parent's benefits
13U..00,Low income benefits
13V..00,Social history baselines
13X..00,History of foreign travel
13Z..00,Social/personal history NOS
13a..00,Morbidity index
1M0..00,Pain in upper limb
141..00,H/O: infectious disease
146..00,H/O: psychiatric disorder
148..00,H/O: eye disorder
149..00,H/O: ear disorder
14B..00,H/O: respiratory disease
14E..00,H/O: male genital disorder
14F..00,H/O: skin disorder
14H..00,H/O: congenital anomaly
14I..00,H/O: perinatal problem
14J..00,H/O: injury
14K..00,H/O: poisoning
14L..00,H/O: drug allergy
14M..00,H/O: non-drug allergy
14N..00,H/O: surgery
14O..00,H/O: risk factor
14P..00,H/O: high risk medication
14Q..00,H/O: regular medication
14S..00,H/O: tissue/organ recipient
14T..00,H/O: artificial organ/tissue
14U..00,H/O: artificial opening
14W..00,H/O: machine dependence
155..00,H/O: infant feeding method
156..00,Contraceptive history
157..00,H/O: menstrual disorder
159..00,H/O gynaecological disorder
15A..00,H/O: obstetric problem
15B..00,Virgo intacta
15C..00,Vaginal irritation
15H..00,Vulval irritation
15Z..00,Gynaecological history NOS
161..00,Appetite symptom
163..00,Feeding problem symptom
166..00,Sweating symptom
169..00,Gland symptom
16A..00,Stiff neck symptom
16B..00,Bruising symptom
16D..00,Falls
16G..00,Unable to stand
16H..00,Unexplained symptoms continue
16Z..00,General symptom
17...00,Respiratory symptoms
175..00,Breath symptom
176..00,C/O - catarrh
17Z..00,Respiratory symptoms NOS
186..00,C/O cold extremities
18Z..00,Cardiovascular symptoms NOS
191..00,Tooth symptoms
192..00,Mouth symptoms
193..00,Chewing symptoms
19A..00,Abdominal distension symptom
19E..00,Faeces/motions - symptoms
19Z..00,Gastrointestinal symptom
1A5..00,Genitourinary pain
1A6..00,Urethral discharge symptom
1A7..00,Vaginal discharge symptom
1A8..00,Breast lump symptom
1A9..00,Nipple discharge symptom
1AB..00,Finding relating to sexual behaviour or practice
1AE..00,Vaginal discomfort
1AF..00,Diuresis
1AZ..00,Genitourinary symptoms NOS
1B1..00,General nervous symptoms
1B2..00,Involuntary movement symptom
1B4..00,Sensory symptoms
1B7..00,Visual symptoms
1BA..00,Headache site
1BB..00,Headache character
1BC..00,Morbid jealousy
1BD..00,Harmful thoughts
1BE..00,Life crisis
1BL..00,Loss of judgment
1BM..00,Conscientious
1BZ..00,Nervous system symptoms NOS
1C1..00,Hearing symptoms
1C4..00,Ear discharge symptoms
1C5..00,Sneezing symptoms
1C7..00,Snoring symptoms
1CC..00,Blocked sinuses
1CD..00,Ear pressure sensation
1CZ..00,Ear/nose/throat symptom
1D...00,General symptom description
1D1..00,C/O: a general symptom
1D2..00,Symptom distribution
1D3..00,Time since symptom started
1D4..00,Time symptom lasts
1D5..00,Symptom frequency
1D6..00,Onset of symptom speed
1D7..00,Symptom severity
1D8..00,Symptom aggravating factors
1D9..00,Symptom relieving factors
1DA..00,Symptom pattern
1DB..00,Symptom modification
1DZ..00,Symptom description NOS
1E...00,Rare history finding
1F...00,Dietary history
1F1..00,Dietary fat intake
1F2..00,Dietary fibre intake
1F4..00,Dietary calorie intake
1F5..00,Dietary protein intake
1F6..00,Dietary carbohydrate intake
1F7..00,Restricted diet pattern
1F8..00,Catering source
1FZ..00,Dietary history NOS
1G...00,Concerned about appearance
1G1..00,Concerned about shape of nose
1GZ..00,Concerned about appearance NOS
1H...00,Awareness of diagnosis
1H0..00,Aware of diagnosis
1H1..00,Patient not aware of diagnosis
1H2..00,Family aware of diagnosis
1H3..00,Family not aware of diagnosis
1J...00,Disease suspected
1J0..00,Suspected malignancy
1J1..00,Suspected drug abuse
1J2..00,Suspected deafness
1J3..00,Suspected victim of child abuse
1Z...00,Clinical history and observation findings
21...00,Depth of examination
211..00,Patient not examined
212..00,Patient examined
21Z..00,Depth of examination NOS
22...00,General examination of patient
221..00,Depth of general examination
222..00,O/E - general observations
223..00,O/E - level of consciousness
224..00,O/E - collapsed
225..00,O/E - state of mind
226..00,O/E - ethnic group
227..00,O/E - colour
228..00,O/E - bodily configuration
229..00,Standing height
22A..00,Body weight
22B..00,O/E - postural position
22D..00,O/E - hair - general examn.
22E..00,O/E - general eye examination
22F..00,On examination - head - general examination
22G..00,O/E - salivary glands
22H..00,O/E - thyroid gland
22I..00,O/E -physiological development
22L..00,O/E - wound healing
22M..00,O/E - state of care
22Z..00,Height and weight
233..00,O/E - chest expansion
234..00,O/E - breathing method
235..00,Respiratory rate
237..00,O/E - chest deformity
238..00,O/E - position of trachea
239..00,O/E - vocal fremitus
23A..00,O/E - percussion note - chest
23B..00,O/E - breath sounds
23C..00,O/E - vocal resonance
23Z..00,O/E - respiratory
241..00,Depth of CVS examination
242..00,Pulse rate
244..00,O/E - pulse character
245..00,O/E - arterial wall character
246..00,O/E - blood pressure reading
247..00,O/E - arterial bruit
249..00,O/E - apex beat
24A..00,O/E - cardiac thrill
24B..00,O/E - heart sounds
24C..00,O/E - pericardial friction rub
24Z..00,O/E - cardiovascular
251..00,Depth of GIT examination
252..00,O/E - lips examined
253..00,O/E - mouth examined
255..00,O/E - gums examined
256..00,O/E - tongue examined
257..00,O/E - breath smell
258..00,O/E - abdominal wall skin
259..00,O/E - abdominal wall movement
25A..00,O/E - abdominal wall contour
25B..00,O/E - intra-abdominal movement
25D..00,O/E - guarding on palpation
25E..00,O/E - rebound tenderness
25F..00,O/E - abdominal rigidity
25H..00,O/E - liver character
25I..00,O/E - gallbladder palpated
25J..00,O/E - abdominal mass palpated
25K..00,O/E-abdominal mass consistency
25L..00,O/E - abdominal mass shape
25M..00,On examination - abdominal mass movement with respiration
25N..00,On examination - abdominal mass -border defined
25O..00,O/E - ascites
25Q..00,Rectal examination
25R..00,O/E - percussion of abdomen
25S..00,O/E - bowel sounds
25Z..00,O/E - digestive system
262..00,O/E - kidney palpated
263..00,O/E - bladder palpated
264..00,O/E - pelvic mass palpated
266..00,O/E - penis
269..00,O/E - vaginal speculum exam.
26A..00,O/E - vaginal discharge
26B..00,O/E - general breast exam.
26C..00,O/E - general nipple exam.
26D..00,O/E - nipple discharge
26F..00,O/E - breast lump size
26G..00,O/E - breast lump consistency
26H..00,O/E - breast lump regularity
26I..00,O/E - breast lump tethering
26Z..00,O/E - genitourinary
27...00,Obstetric examination
271..00,O/E - gravid uterus size
273..00,O/E - presenting part position
275..00,O/E - fetal movements
276..00,O/E - fetal heart heard
277..00,O/E - VE for pelvic assessment
278..00,O/E - vaginal examination - cervical ripeness
279..00,O/E - VE - cervical dilatation
27Z..00,Obstetric examination NOS
282..00,O/E - fit/convulsion
283..00,O/E - paralysis
284..00,O/E - disorientated
287..00,O/E - bizarre appearance
289..00,O/E - suspicious
28A..00,O/E - perplexed
28B..00,O/E - easily distractable
28Z..00,Nervous syst/mental state NOS
291..00,O/E-motor/sensory syst-general
292..00,O/E - trophic changes
293..00,O/E - muscle mass
296..00,O/E - muscle contracture
297..00,O/E - involuntary movements
298..00,O/E - posture
299..00,O/E - gait
29A..00,O/E - muscle power
29B..00,O/E - tactile sensation
29C..00,O/E - tactile discrimination
29D..00,O/E - deep sensation
29E..00,O/E - pain sensation
29F..00,O/E-temperature discrimination
29G..00,O/E - joint position sense
29H..00,O/E - vibration sense
29I..00,O/E - stereognosis
29J..00,O/E - suppression
29Z..00,O/E - motor/sensory
2A...00,Examination of reflexes
2A1..00,O/E - general reflex exam.
2A2..00,O/E - knee reflex
2A3..00,O/E - suprapatellar reflex
2A4..00,O/E - ankle reflex
2A5..00,O/E - triceps reflex
2A6..00,O/E - biceps reflex
2A7..00,O/E - radial reflex
2A8..00,O/E - jaw reflex
2AA..00,O/E - plantar response
2AB..00,O/E - abdominal reflex
2AC..00,O/E - corneal reflex
2AD..00,O/E - superficial reflexes NOS
2AE..00,O/E - micturition reflex
2AF..00,O/E - defaecation reflex
2AG..00,O/E - mass reflex
2AZ..00,Examination of reflexes NOS
2B1..00,O/E - CNS examination -general
2B5..00,O/E - symbolic dysfunction
2B6..00,O/E - visual acuity R-eye
2B7..00,O/E - visual acuity L-eye
2B8..00,O/E - near vision
2BA..00,O/E - optic disc inspection
2BB..00,O/E - retinal inspection
2BC..00,O/E - visual fields
2BD..00,O/E - strabismus - squint
2BE..00,O/E - ptosis
2BF..00,O/E - pupil size
2BG..00,O/E - pupil regularity
2BH..00,O/E - fluorescein staining
2BJ..00,O/E - eye movements
2BK..00,O/E - taste sensation
2BM..00,O/E - tuning fork testing
2BN..00,O/E - nystagmus
2BO..00,O/E - uvula movement
2BP..00,O/E - smell tested
2BQ..00,"O/E - cranial nerves 3,4 + 6"
2BR..00,O/E - cranial nerves 5 + 7
2BS..00,"O/E -cranial nerves 9,10,11+12"
2BZ..00,O/E - CNS examination
2C1..00,General haemopoietic exam.
2C2..00,O/E - anaemia
2C3..00,O/E - lymphadenopathy
2C4..00,O/E - lymph node character
2C5..00,O/E - splenomegaly
2C6..00,O/E - Hess test for purpura
2CZ..00,O/E - haemopoietic system NOS
2D1..00,ENT examination
2D2..00,O/E - nasal discharge
2D4..00,O/E - posterior rhinoscopy
2D5..00,O/E - auricle of ear
2D6..00,O/E - discharge from ear
2D7..00,O/E - painful ear
2D8..00,O/E - auditory canal
2DA..00,O/E - paranasal sinuses
2DC..00,O/E - pharynx
2DE..00,O/E - laryngeal signs
2DF..00,O/E - nasopharyngeal signs
2DZ..00,O/E - ENT
2E1..00,O/E - fever - general
2E2..00,O/E - method fever registered
2E3..00,O/E - level of fever
2E4..00,O/E - character of fever
2EZ..00,O/E - fever NOS
2F1..00,O/E - general skin exam.
2F2..00,O/E - macules
2F3..00,O/E - papules
2F4..00,O/E - nodules in skin
2F7..00,O/E - pustules
2F9..00,O/E - skin scales
2FA..00,O/E - skin burrows
2FB..00,O/E - blackheads
2FC..00,O/E - skin plaques
2FD..00,Cyst of skin
2FE..00,O/E - skin fissures (rhagades)
2FF..00,O/E - skin ulcer
2FG..00,O/E - skin scar
2FH..00,O/E - skin crust
2FI..00,O/E - sinus in skin
2FJ..00,O/E - skin tags
2FK..00,O/E - Peeling skin
2FL..00,O/E lichenified skin
2FN..00,O/E - tenderness of skin
2FO..00,O/E - discoid rash
2FP..00,O/E - milia
2G...00,Examination of the extremities
2G1..00,O/E - extremities - general
2G2..00,O/E - hands
2G3..00,O/E - nails
2G4..00,O/E - legs
2G5..00,O/E - foot
2GZ..00,Exam. of extremities NOS
2H2..00,O/E - joint abnormal
2H3..00,O/E - joint swelling
2H4..00,O/E - joint movement
2H5..00,O/E - joint stability
2H6..00,O/E - joint stiffness
2H7..00,O/E - joint power
2H8..00,O/E - spine abnormal
2H9..00,Straight leg raise test response
2HB..00,O/E - bone abnormality
2HD..00,O/E - skin colour over lesion
2HE..00,On examination - skin temperature over lesion
2HZ..00,O/E - musculoskeletal
2I...00,General sign qualifications
2I1..00,O/E - general sign
2I2..00,O/E - site of sign
2I3..00,O/E - plane of sign
2I4..00,O/E - size of sign
2I5..00,O/E - consistency of sign
2I6..00,O/E - shape of sign
2I7..00,O/E - localisation of sign
2I8..00,O/E - sign surface contour
2I9..00,O/E - tethering of sign
2IA..00,O/E - sign painful
2IZ..00,O/E - general sign NOS
2Z...00,Examination/signs NOS
31...00,Special diagnostic procedures
318..00,Special female genital test
319..00,Special male genital test
31A..00,Special musculo-skeletal test
31B..00,Special dermatological testing
31Z..00,Special diagnostic test NOS
321..00,Electrocardiographic procedure
323..00,ECG: myocardial infarction
324..00,ECG:left ventricle hypertrophy
325..00,ECG: right ventricle hypertrophy
326..00,ECG: ectopic beats
327..00,ECG: supraventricular arrhythmia
328..00,ECG: ventricular arrhythmia
329..00,ECG: heart block
32E..00,ECG: S-T interval
32Z..00,Electrocardiography
33...00,Physiological function tests
331..00,Skin test for susceptibility
333..00,Sarcoid testing - Kveim
33D..00,Skeletomuscular function test
33Z..00,Physiol. function test NOS
34...00,Non-surgical biopsy (admin)
35...00,Surgical biopsy (admin)
37...00,Exploratory diagnostic procedures
373..00,Diagnostic dye introduction
37Z..00,Exploratory diagn. proced. NOS
381..00,Procedure aiding diagnosis
382..00,Diagnostic psychology
388..00,Assessment scales
38Z..00,Miscellaneous diagnostic tests
39...00,Disability assessment-physical
391..00,Feeding ability
396..00,Chair/bed transfer
397..00,Toilet dependency
398..00,Assessment of mobility
399..00,Stairs - ability
39B..00,Walking aid use
39C..00,Pressure sore index value
39D..00,Walking distance
3A0..00,Biopsy specimen not retrieved
3A1..00,Memory: own age
3A2..00,Memory: present time
3A3..00,Memory: present place
3A4..00,Memory: present year
3A5..00,Memory: own DOB
3A6..00,Memory: present month
3A7..00,Memory: important event
3A8..00,Memory: important person
3A9..00,Memory: count down
3AA..00,Memory: address recall
3AB..00,Behaviour assessment
3AC..00,Mental disability assessment score
3AD..00,Dementia test
3B...00,Biopsy administration
3B1..00,Biopsy result normal
3B2..00,Biopsy result abnormal
3B3..00,Insufficient biopsy specimen
3Z...00,Diagnostic procedure NOS
411..00,Laboratory test not necessary
412..00,Laboratory procedure performed
413..00,Laboratory test requested
418..00,Lab. test result normal
41A..00,Lab. test result borderline
41B..00,Laboratory test due
41C..00,Patient informed - test result
422..00,O/E: inspection of blood
42F..00,RBC - red blood cell clumping
42G..00,Red blood cell enzymes
42O..00,Immature white blood cells
42Y..00,Other haematology test
432..00,Rhesus blood grouping
433..00,Minor blood groups
435..00,Transfusion centre ref. no.
436..00,Rhesus antibody titre
439..00,Rubella antibody titre
43E..00,Antibody titre measurement
43G..00,Autoantibody titres
43L..00,Sample serology
43M..00,Hepatitis A test
43N..00,Extractable nuclear antigen
43O..00,DS DNA antibody by ELISA
43Z..00,Immunology NOS
445..00,Serum beta human chorionic gonadotrophin pregnancy test
44A..00,Blood hormone levels NOS
44E..00,Serum bilirubin level
44T..00,Blood glucose method
44W..00,Blood drug levels
44e..00,Plasma triglyceride level
45...00,Chemical function tests
452..00,Gastric function tests
453..00,Digestive function tests
454..00,Chem. metabolic function tests
45Z..00,Chemical function test NOS
46...00,Urine examination
462..00,Urine inspection
464..00,Urine smell
465..00,Urine pregnancy test
467..00,Urine protein test
468..00,Urine ketone test
46A..00,Urine pH test
46B..00,Urine bacteriuria test
46D..00,Urine microscopy - general
46E..00,Finding related to casts on urine microscopy
46F..00,Urine microscopy: crystals - finding
46G..00,Urine microscopy: cells
46Q..00,Urine drug levels
46R..00,Urine bile chemistry
46V..00,Other urine volume
46X..00,Urine nitrite level
46Z..00,Urine test NOS
47...00,Examination of faeces
471..00,Faeces examination - general
474..00,Faeces exam. - consistency
475..00,Faeces examination - quantity
476..00,Faeces: abnormal constituents
479..00,Faecal occult blood test
47A..00,Faeces pH
47C..00,Faeces sugar chromatography
47D..00,Faeces examination - organisms
47Z..00,Faeces examination NOS
481..00,CSF examination - general
482..00,Cerebrospinal fluid appearance
485..00,CSF: microorganisms
486..00,CSF: chemical content -general
489..00,CSF (cerebrospinal fluid) chloride level
48B..00,CSF (cerebrospinal fluid) electrophoresis
48Z..00,CSF examination NOS
491..00,Semen examination - general
494..00,Sperm motility at 6-8 hours
496..00,Sperm: abnormal constituents
499..00,Total count of normal and motile sperm
49A..00,Total count of motile sperm
49B..00,Sperm motility
49C..00,Density of morphologically normal and motile sperm
49D..00,Density of motile sperm
49E..00,Tray agglutination test
49F..00,Semen sample age
49Z..00,Semen examination
4A...00,Vomit examination
4A1..00,Vomit examination - general
4A2..00,Vomit appearance
4A3..00,Vomit odour
4A4..00,Vomit pH
4A5..00,Vomit occult blood
4A6..00,Vomit toxicology
4AZ..00,Vomit examination NOS
4B...00,Synovial fluid examination
4B1..00,Synovial fluid exam. - general
4B3..00,Synovial fluid appearance
4B4..00,Synovial fluid viscosity
4B7..00,Synovial fluid abnorm. content
4BZ..00,Synovial fluid exam. NOS
4C...00,Bone marrow examination
4C1..00,Bone marrow examination
4C2..00,Bone marrow source
4CZ..00,Bone marrow exam. NOS
4D...00,Pleural fluid examination
4D1..00,Pleural fluid exam.- general
4D2..00,Pleural fluid appearance
4D3..00,Pleural fluid specific gravity
4D4..00,Pleural fluid protein content
4D5..00,Pleural fluid microscopy
4D6..00,Pleural fluid type
4DZ..00,Pleural fluid examination
4E1..00,Sputum examination - general
4E2..00,Sputum inspection
4E3..00,Sputum microscopy
4EZ..00,Sputum examination NOS
4F...00,Ascitic fluid examination
4F2..00,Ascitic fluid appearance
4F3..00,Ascitic fluid microscopy
4F4..00,Ascitic fluid chemistry
4FZ..00,Ascitic fluid exam. NOS
4G...00,Calculus examination
4G1..00,Calculus examination general
4G3..00,O/E: prostatic calculus
4G4..00,O/E: renal calculus
4G5..00,O/E - salivary calculus
4G6..00,O/E - ureteric calculus
4G7..00,O/E - urethral calculus
4G8..00,O/E - bladder calculus
4GA..00,Calculus chemical composition
4GZ..00,Calculus examination NOS
4H...00,Amniotic fluid examination
